Gaze point: [-0.0944709, 0.513714]
Gaze point: [-0.0876871, 0.512477]
Gaze point: [-0.081708, 0.513162]
Gaze point: [-0.0760021, 0.512142]
Gaze point: [-0.0713145, 0.514373]
Gaze point: [-0.0674325, 0.517738]
Gaze point: [-0.064971, 0.521224]
Gaze point: [-0.0625777, 0.522496]
Gaze point: [-0.0603176, 0.523399]
Gaze point: [-0.0543545, 0.52324]
Gaze point: [-0.046564, 0.525592]
Gaze point: [-0.0398526, 0.52727]
Gaze point: [-0.0342853, 0.527375]
Gaze point: [-0.0295695, 0.529463]
Gaze point: [-0.0259415, 0.528662]
Gaze point: [-0.0217345, 0.529204]
Gaze point: [-0.0185135, 0.530189]
Gaze point: [-0.0149439, 0.530496]
Gaze point: [-0.00492811, 0.528321]
Gaze point: [0.00714946, 0.527096]
Gaze point: [0.0188444, 0.525485]
Gaze point: [0.0273602, 0.523924]
Gaze point: [0.0344085, 0.523059]
Gaze point: [0.0404806, 0.522828]
Gaze point: [0.0451767, 0.523596]
Gaze point: [0.051116, 0.522479]
Gaze point: [0.0705379, 0.525153]
Gaze point: [0.0902619, 0.532961]
Gaze point: [0.105674, 0.538112]
Gaze point: [0.120109, 0.541321]
Gaze point: [0.130976, 0.541226]
Gaze point: [0.140013, 0.541938]
Gaze point: [0.161419, 0.542808]
Gaze point: [0.187188, 0.547017]
Gaze point: [0.206004, 0.551167]
Gaze point: [0.217523, 0.549665]
Gaze point: [0.232555, 0.54645]
Gaze point: [0.242828, 0.54913]
Gaze point: [0.245531, 0.549324]
Gaze point: [0.248476, 0.54586]
Gaze point: [0.250302, 0.543905]
Gaze point: [0.256562, 0.54581]
Gaze point: [0.264286, 0.549937]
Gaze point: [0.272059, 0.555147]
Gaze point: [0.277879, 0.552684]
Gaze point: [0.283176, 0.553342]
Gaze point: [0.288918, 0.555263]
Gaze point: [0.292297, 0.557997]
Gaze point: [0.294314, 0.556471]
Gaze point: [0.295668, 0.555188]
Gaze point: [0.296205, 0.55542]
Gaze point: [0.297482, 0.555713]
Gaze point: [0.298744, 0.555239]
Gaze point: [0.29943, 0.556332]
Gaze point: [0.299986, 0.557725]
Gaze point: [0.300495, 0.558276]
Gaze point: [0.300841, 0.558538]
Gaze point: [0.294972, 0.559548]
Gaze point: [0.246231, 0.56184]
Gaze point: [0.0936393, 0.563555]
Gaze point: [-0.0589314, 0.580066]
Gaze point: [-0.151672, 0.586223]
Gaze point: [-0.204512, 0.589474]
Gaze point: [-0.237116, 0.594713]
Gaze point: [-0.254623, 0.588609]
Gaze point: [-0.276279, 0.586445]
Gaze point: [-0.298369, 0.590116]
Gaze point: [-0.311824, 0.59673]
Gaze point: [-0.320677, 0.595279]
Gaze point: [-0.326706, 0.595379]
Gaze point: [-0.329065, 0.599932]
Gaze point: [-0.330985, 0.600604]
Gaze point: [-0.331844, 0.596474]
Gaze point: [-0.332177, 0.592507]
Gaze point: [-0.332234, 0.5897]
Gaze point: [-0.333498, 0.593905]
