Gaze point: [-0.00468493, 0.265598]
Gaze point: [-0.00109923, 0.265071]
Gaze point: [0.00283015, 0.267503]
Gaze point: [0.0218139, 0.271737]
Gaze point: [0.0445877, 0.272456]
Gaze point: [0.0620854, 0.276265]
Gaze point: [0.0757399, 0.28035]
Gaze point: [0.0856426, 0.278979]
Gaze point: [0.0935099, 0.281173]
Gaze point: [0.103899, 0.285755]
Gaze point: [0.123721, 0.301816]
Gaze point: [0.168444, 0.308725]
Gaze point: [0.213236, 0.315566]
Gaze point: [0.249377, 0.318858]
Gaze point: [0.274804, 0.317596]
Gaze point: [0.291498, 0.318151]
Gaze point: [0.301043, 0.320909]
Gaze point: [0.308174, 0.317529]
Gaze point: [0.312526, 0.311258]
Gaze point: [0.31697, 0.310264]
Gaze point: [0.319954, 0.310809]
Gaze point: [0.322711, 0.310926]
Gaze point: [0.324819, 0.313544]
Gaze point: [0.325985, 0.313561]
Gaze point: [0.327928, 0.31684]
Gaze point: [0.329204, 0.31667]
Gaze point: [0.334855, 0.319437]
Gaze point: [0.339585, 0.321835]
Gaze point: [0.343503, 0.323533]
Gaze point: [0.347751, 0.323871]
Gaze point: [0.351497, 0.323358]
Gaze point: [0.353689, 0.322108]
Gaze point: [0.355868, 0.321939]
Gaze point: [0.357997, 0.321362]
Gaze point: [0.360883, 0.321616]
Gaze point: [0.361825, 0.320085]
Gaze point: [0.362666, 0.32048]
Gaze point: [0.355206, 0.317132]
Gaze point: [0.270735, 0.29937]
Gaze point: [-0.0310029, 0.251847]
Gaze point: [-0.246753, 0.228229]
Gaze point: [-0.333832, 0.234309]
Gaze point: [-0.375664, 0.234408]
Gaze point: [-0.409636, 0.226932]
Gaze point: [-0.445541, 0.204743]
Gaze point: [-0.465557, 0.196306]
Gaze point: [-0.475351, 0.19015]
Gaze point: [-0.471648, 0.186727]
Gaze point: [-0.445019, 0.195759]
Gaze point: [-0.432732, 0.190341]
Gaze point: [-0.424708, 0.185068]
Gaze point: [-0.41983, 0.181929]
Gaze point: [-0.414253, 0.177161]
Gaze point: [-0.407997, 0.176172]
Gaze point: [-0.401864, 0.17503]
Gaze point: [-0.396205, 0.171577]
Gaze point: [-0.392418, 0.172465]
Gaze point: [-0.388454, 0.171216]
Gaze point: [-0.383291, 0.171465]
Gaze point: [-0.377771, 0.170109]
Gaze point: [-0.37273, 0.168331]
Gaze point: [-0.341481, 0.168925]
Gaze point: [-0.297442, 0.169635]
Gaze point: [-0.25596, 0.171646]
Gaze point: [-0.225466, 0.175345]
Gaze point: [-0.205081, 0.178389]
Gaze point: [-0.189674, 0.180091]
Gaze point: [-0.17057, 0.179435]
Gaze point: [-0.130288, 0.178892]
Gaze point: [-0.0987359, 0.176095]
Gaze point: [-0.0744398, 0.170568]
Gaze point: [-0.0575241, 0.166376]
Gaze point: [-0.0376983, 0.162519]
Gaze point: [0.00528502, 0.165035]
Gaze point: [0.0443161, 0.175349]
Gaze point: [0.0725031, 0.178709]
Gaze point: [0.0456655, 0.0247727]
Gaze point: [0.151246, 0.0752847]
Gaze point: [0.153273, 0.090047]
Gaze point: [0.150317, 0.105771]
Gaze point: [0.147619, 0.117167]
Gaze point: [0.146279, 0.128261]
Gaze point: [0.16893, 0.144842]
Gaze point: [0.220208, 0.175149]
Gaze point: [0.244416, 0.182554]
Gaze point: [0.274442, 0.19946]
Gaze point: [0.312287, 0.231836]
Gaze point: [0.337766, 0.254295]
Gaze point: [0.352291, 0.269673]
Gaze point: [0.363949, 0.277507]
Gaze point: [0.372121, 0.283249]
Gaze point: [0.382972, 0.290724]
Gaze point: [0.405462, 0.289547]
Gaze point: [0.411969, 0.27955]
Gaze point: [0.419001, 0.274141]
Gaze point: [0.426073, 0.274385]
Gaze point: [0.429471, 0.272383]
Gaze point: [0.433219, 0.27087]
Gaze point: [0.434059, 0.2663]
Gaze point: [0.436394, 0.262059]
Gaze point: [0.437275, 0.255017]
Gaze point: [0.436827, 0.251972]
Gaze point: [0.437343, 0.252488]
Gaze point: [0.437135, 0.250459]
Gaze point: [0.437427, 0.248269]
Gaze point: [0.439884, 0.243985]
Gaze point: [0.445305, 0.242955]
Gaze point: [0.449725, 0.241402]
Gaze point: [0.454021, 0.240751]
Gaze point: [0.458013, 0.240719]
Gaze point: [0.461391, 0.241267]
Gaze point: [0.463218, 0.240505]
Gaze point: [0.465143, 0.241233]
Gaze point: [0.458044, 0.237685]
Gaze point: [0.349695, 0.210667]
Gaze point: [0.0455856, 0.142076]
Gaze point: [-0.213217, 0.105729]
Gaze point: [-0.34241, 0.0934673]
Gaze point: [-0.403125, 0.0877053]
Gaze point: [-0.429826, 0.0778856]
Gaze point: [-0.445117, 0.0702035]
Gaze point: [-0.454671, 0.0671381]
Gaze point: [-0.456277, 0.0647235]
Gaze point: [-0.460149, 0.0656195]
Gaze point: [-0.461835, 0.0646621]
Gaze point: [-0.442091, 0.0669024]
Gaze point: [-0.429637, 0.0683179]
Gaze point: [-0.423075, 0.0666596]
Gaze point: [-0.417875, 0.0663849]
Gaze point: [-0.411371, 0.0652417]
Gaze point: [-0.403389, 0.064767]
Gaze point: [-0.394767, 0.0630932]
Gaze point: [-0.361391, 0.0620584]
